web-scraper-order,web-scraper-start-url,user_id,user_name,rating,rating-x,kategori,reviews,like,timestamp
"1752462696-1280","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/184870303","sutyono79","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-12-06 07:39 | Variasi: 41"
"1752462696-1281","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/104384406","wildantio","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-02-14 14:36 | Variasi: 41"
"1752462696-1282","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/99683776","ekamarlina17","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-09-30 18:15 | Variasi: 40"
"1752462696-1283","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-11-22 10:44 | Variasi: 43"
"1752462696-1284","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/32767091","luluafriyanti","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-12-13 11:31 | Variasi: 41"
"1752462696-1285","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/131899316","ziaagzia","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-12-07 16:34 | Variasi: 43"
"1752462696-1286","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/84138784","pabrik_gorden","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-12-03 16:44 | Variasi: 39"
"1752462696-1287","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/208343370","savitri_wulandari06","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-09-21 08:31 | Variasi: 43"
"1752462696-1288","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/277111454","worldproduct_","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-06-01 20:17 | Variasi: 44"
"1752462696-1289","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/109918877","afifjenko","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-01-28 11:50 | Variasi: 40"
"1752462696-1290","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/207789069","zhicopanjicarebeth041","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-04-26 12:41 | Variasi: 43"
"1752462696-1291","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/15225798","aqalbim","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-01-23 00:45 | Variasi: 39"
"1752462696-1292","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/90621794","ary_ardhian","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-10-14 17:05 | Variasi: 44"
"1752462696-1293","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/235452037","mariiajovita","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-05-28 13:08 | Variasi: 39"
"1752462696-1294","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-09-07 06:13 | Variasi: 42"
"1752462696-1295","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/347549996","nonyyakolyna","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-05-12 14:36 | Variasi: 43"
"1752462696-1296","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/67677984","nurhaeda435","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-11-24 11:37 | Variasi: 41"
"1752462696-1297","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/171633921","mugionoprakoso17","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-02-06 16:04 | Variasi: 42"
